from,to,line,duration
Jungfernheide,Mierendorffplatz,U7,1
Mierendorffplatz,Richard-Wagner-Platz,U7,2
Richard-Wagner-Platz,Bismarckstraße,U7,1
Bismarckstraße,Wilmersdorfer Straße,U7,1
Wilmersdorfer Straße,Adenauer Platz,U7,2
Adenauer Platz,Konstanzer Straße,U7,1
Konstanzer Straße,Fehrbelliner Platz,U7,1
Fehrbelliner Platz,Blissestraße,U7,2
Blissestraße,Berliner Straße,U7,1
Berliner Straße,Bayerischer Platz,U7,1
Bayerischer Platz,Eisenacher Straße,U7,1
Eisenacher Straße,Kleistpark,U7,2
Kleistpark,Yorckstraße,U7,1
Yorckstraße,Möckernbrücke,U7,2
Möckernbrücke,Mehringdamm,U7,2
Mehringdamm,Gneisenaustraße,U7,1
Gneisenaustraße,Südstern,U7,2
Südstern,Hermannplatz,U7,2
Hermannplatz,Rathaus Neukölln,U7,1
Rathaus Neukölln,Karl-Marx-Straße,U7,2
Karl-Marx-Straße,Neukölln,U7,1
Neukölln,Grenzallee,U7,2
Grenzallee,Blaschkoallee,U7,1
Blaschkoallee,Parchimer Allee,U7,2
Parchimer Allee,Britz-Süd,U7,1
Britz-Süd,Johannisthaler Chaussee,U7,2
Johannisthaler Chaussee,Lipschitzallee,U7,1
Lipschitzallee,Wutzkyallee,U7,2
Wutzkyallee,Zwickauer Damm,U7,1
Zwickauer Damm,Rudow,U7,1
Wittenau,Rathaus Reinickendorf,U8,1
Rathaus Reinickendorf,Karl-Bonhoeffer-Nervenklinik,U8,2
Karl-Bonhoeffer-Nervenklinik,Lindauer Allee,U8,2
Lindauer Allee,Paracelsus-Bad,U8,1
Paracelsus-Bad,Residenzstraße,U8,1
Residenzstraße,Franz-Neumann-Platz,U8,2
Franz-Neumann-Platz,Osloer Straße,U8,2
Osloer Straße,Pankstraße,U8,1
Pankstraße,Gesundbrunnen,U8,2
Gesundbrunnen,Voltastaße,U8,1
Voltastaße,Bernauer Straße,U8,2
Bernauer Straße,Rosenthaler Platz,U8,1
Rosenthaler Platz,Weinmeisterstraße,U8,2
Weinmeisterstraße,Alexanderplatz,U8,2
Alexanderplatz,Jannowitzbrücke,U8,1
Jannowitzbrücke,Heinrich-Heine-Straße,U8,2
Heinrich-Heine-Straße,Moritzplatz,U8,1
Moritzplatz,Kottbusser Tor,U8,2
Kottbusser Tor,Schönleinstraße,U8,2
Schönleinstraße,Hermannplatz,U8,2
Hermannplatz,Boddinstraße,U8,1
Boddinstraße,Leinestraße,U8,2
Leinestraße,Hermannstraße,U8,1
Osloer Straße,Nauener Platz,U9,1
Nauener Platz,Leopoldplatz,U9,1
Leopoldplatz,Amrumer Straße,U9,2
Amrumer Straße,Westhafen,U9,1
Westhafen,Birkenstraße,U9,1
Birkenstraße,Turmstraße,U9,2
Turmstraße,Hansaplatz,U9,1
Hansaplatz,Zoologischer Garten,U9,2
Zoologischer Garten,Kurfürstendamm,U9,2
Kurfürstendamm,Spichernstraße,U9,1
Spichernstraße,Güntzelstraße,U9,1
Güntzelstraße,Berliner Straße,U9,1
Berliner Straße,Bundesplatz,U9,2
Bundesplatz,Friedrich-Wilhelm-Platz,U9,1
Friedrich-Wilhelm-Platz,Walther-Schreiber-Platz,U9,1
Walther-Schreiber-Platz,Schloßstraße,U9,2
Schloßstraße,Rathaus Steglitz,U9,1
